原始资源名,像素尺寸,优先级,状态,制作内容与注意事项,OCR参考_可能误识别
MWAKU.gcc,640x208,暂不做,无需文字替换,窗框/箭头/底图，当前检查无需译文,
SELPARTS.gcc,320x68,暂不做,无需文字替换,窗框/箭头/底图，当前检查无需译文,
backlog.gcc,172x480,暂不做,无需文字替换,窗框/箭头/底图，当前检查无需译文,
backpic1.gcc,640x480,保留,品牌版权标识,开发商品牌/版权署名默认保留原样,©エルフ
backpic2.gcc,640x480,保留,品牌版权标识,开发商品牌/版权署名默认保留原样,合 | 1田（ | Cエルク
baklog.gcc,128x480,暂不做,无需文字替换,窗框/箭头/底图，当前检查无需译文,
bktitlen.gcc,272x180,P1,需要制作,返回标题确认框与按钮三态,タイトル負りますまろしいですか？ | 決 | 定 | キャンセル | 定 | 決 | 決 | キャンセル | キャンセル | キャンセル
cg_bg1.gcc,640x480,P1,需要制作,底部翻页、连续播放、返回标题；未解锁占位Logo,河原崎家の一族 | 酒原崎家の一族 | 河原崎家の=族 | 河原崎家の一族 | 河原崎家の=族 | 河原崎家の=族 | 河原崎家の一族 | 河原崎家の一族 | 前 | 頁 | 8 | 次 | 河原崎家の一族 | 河原崎家の一族 | 河原崎家の=族 | 河原崎家の一族 | 連続再生 | 河原崎家の一族 | 河原崎家の一族 | 河原崎家の=族 | 河原崎家の一族 | 田-田 | タイトルに戻る
cg_bg2.gcc,640x480,P1,需要制作,第8页底部按钮和未解锁占位Logo,河原崎家の一族 | 河原崎家の一族 | =： | 河原崎家の=族 | 河原崎家の一族 | 河原崎家の一族 | 河原崎家の=族 | 前頁 | 88 | 次頁 | 河原崎家の一族 | 羽原崎家の一族 | 河原崎家の一族 | 連i | 続再生 | 河原崎家の一族 | 河原崎家の一族 | タイトルに戻る
cg_pt.gcc,480x204,P1,需要制作,前后页、返回标题、连续播放四态,前頁 | 仏次頁 | ※タイトルに戻る | 連続再生 | ⅜ | X | X | ※タイトルに戻る | 連続再生 | X | タイトルに戻る | 連繞再生 | X | 前 | 頁 | ↓次頁 | 1234 | 5678 | レタイトルに戻る | ●連続再生
edk_bg.gcc,640x480,P1,需要制作,结局鉴赏返回标题；no.编号可保留,n0.1 | n0.2 | n0.3 | n0.4 | n0.5 | n0.6 | n0.7 | n0.8 | n0.9 | n0.10 | no.11 | n0.12 | no.13 | no.14 | no.15 | no.16 | no.17 | n0.18a | nO.18b | タイトルに戻る
