类别,原文,建议简体译文,备注
标题,河原崎家の一族,河原崎家的一族,暂定标题
标题菜单,最初からはじめる,开始游戏,
标题菜单,途中からはじめる,读取存档,
标题菜单,CGを鑑賞する,CG鉴赏,
标题菜单,シーンを鑑賞する,剧情回想,
标题菜单,音楽を鑑賞する,音乐鉴赏,
标题菜单,エンディングを確認する,结局鉴赏,
通用,セーブ,保存存档,
通用,ロード,读取存档,
通用,履歴,文字履历,当前移植版未启用该功能
通用,環境設定,环境设置,
通用,タイトルに戻る,返回标题,
通用,ゲームの終了,退出游戏,
通用,キャンセル,取消,
通用,決定,确定,
通用,適用,应用,
通用,閉じる,关闭,
通用,前頁,上一页,
通用,次頁,下一页,
通用,連続再生,连续播放,
通用,停止,停止,
通用,デフォルトに戻す,恢复默认,
文本框,メッセージ枠の消去,隐藏文本框,
文本框,メッセージ枠の表示,显示文本框,
存档,未使用,空存档,
存档,メモ編集,编辑备注,
存档,文字全消去,清空文字,
存档,データをセーブします、よろしいですか？,确定保存存档吗？,
存档,データをロードします、よろしいですか？,确定读取存档吗？,
提示,タイトルに戻ります、よろしいですか？,确定返回标题吗？,
提示,ゲームを終了します、よろしいですか？,确定退出游戏吗？,
设置,サウンド設定,声音设置,
设置,音楽,音乐,
设置,効果音,音效,
设置,音声,语音,
设置,男の声,男性语音,
设置,女の声,女性语音,
设置,文字表示設定,文字显示设置,
设置,既読文章のスキップ,跳过已读文本,
设置,自動進行,自动播放,
设置,画面効果設定,画面效果设置,
设置,ウィンドウの色,窗口颜色,
设置,透過,透明度,
设置,サンプル,预览,
设置,画面の効果,画面特效,
设置,入,开,
设置,切,关,
曲名,運命の一族,命运一族,暂译
曲名,侯爵令嬢,侯爵千金,暂译
曲名,舞台を降りた少女,走下舞台的少女,暂译
曲名,破滅への階段,通往毁灭的阶梯,暂译
曲名,覚醒,觉醒,
曲名,偽りの貴婦人,虚假的贵妇人,暂译
曲名,エンドレス・ワルツ,无尽的华尔兹,暂译
曲名,殺戮の月夜,杀戮月夜,暂译
曲名,午後のテラス,午后的露台,暂译
曲名,木陰,树荫,
曲名,終焉,终焉,
曲名,永遠の闇,永恒的黑暗,暂译
曲名,悪夢,噩梦,
曲名,引き裂かれた時,被撕裂的时光,暂译
